,avg_price,short_amount,short_pct,pe_ratio,eps,earning_yield,dividend_ratio,dividend_per_share,pb_ratio,nav_per_share,cap_flow,volume_ratio,rate_ratio,turnover_rate,volatility,avg_volume_90,market_cap
00027,50.632,74400000.0,0.36644,deficit,-0.787,N/A,N/A,N/A,3.452,14.629,21900000.0,0.815,-0.01726,0.00092,0.02388,6520000.0,220865000000.0
00066,31.017,17800000.0,0.14002,19.497,1.59,0.04226,0.8239,1.31,1.072,28.907,5390000.0,1.116,-0.06928,0.00066,0.01135,2390000.0,192639000000.0
00101,10.506,4600000.0,0.0421,12.353,0.85,0.07429000000000001,0.91765,0.78,0.354,29.645,-9770000.0,1.335,-0.23763,0.00231,0.03077,5840000.0,47242000000.0
00175,9.654,21200000.0,0.08009000000000001,16.756,0.575,0.02178,0.36501,0.21,1.198,8.045,37900000.0,0.902,0.13224,0.00272,0.022799999999999997,37700000.0,97011000000.0
00241,4.663,33900000.0,0.28944,103.658,0.045,N/A,N/A,N/A,3.649,1.283,12600000.0,1.081,-0.15498,0.00185,0.043570000000000005,37700000.0,63336000000.0
00267,7.668,7720000.0,0.08069000000000001,2.954,2.59,0.0851,0.25135,0.651,0.302,25.344,1800000.0,1.134,-0.16556,0.00043,0.02387,9270000.0,222540000000.0
00288,4.115,12100000.0,0.09920999999999999,4.929,0.834,0.07299,0.35975999999999997,0.3,0.704,5.842,-2410000.0,1.355,0.32216,0.0023,0.02703,15800000.0,52732000000.00001
00291,45.121,22400000.000000004,0.10023,29.934,1.512,0.01336,0.4,0.605,4.813,9.402,-14300000.0,1.047,-0.01294,0.00153,0.03047,7490000.0,146799000000.0
00316,104.567,35200000.0,0.34208,0.878,117.823,0.79741,0.6998000000000001,82.452,0.651,158.862,1160000.0,0.677,-0.13058,0.00149,0.03895,988500.0,68282000000.00001
00669,76.195,56800000.0,0.16479,16.613,4.596,0.02423,0.40253999999999995,1.85,3.446,22.153,-14600000.0,0.999,0.11723,0.00247,0.03256,5190000.0,140089000000.0
00823,37.668,31000000.0,0.0816,5.339,7.09,0.07131,0.38071,2.699,0.512,73.983,-6380000.0,1.222,0.27514,0.00393,0.02145,6530000.0,96969000000.0
00960,16.229,21900000.0,0.12183,3.511,4.603,0.07888,0.27696000000000004,1.275,0.633,25.52,15500000.0,0.57,-0.02935,0.00168,0.029670000000000002,25099999.999999996,106523000000.0
00981,20.366,49700000.0,0.03961,11.081,1.796,N/A,N/A,N/A,1.053,18.897,58400000.0,2.17,0.0638,0.00775,0.055999999999999994,31800000.0,158088000000.0
00992,8.215,34600000.0,0.08773999999999998,7.698,1.06,0.04657,0.35847999999999997,0.38,2.256,3.618,24100000.0,1.354,0.26078,0.00396,0.03182,46600000.0,98966000000.0
